index,WHALES20_Isol,TPSA(NO),CATS2D_08_AA,Mor04v,E1i,pEC50
0.0,-0.15,66.4,0.0,0.7895,0.6072,7.6
1.0,-0.167,66.4,0.0,0.9226,0.6295,7.17
2.0,-0.054,75.63,0.0,0.3488,0.5888,7.01
3.0,-0.071,75.63,0.0,1.124,0.588,6.98
4.0,-0.038,75.63,0.0,0.8037,0.5957,6.9
5.0,-0.074,75.63,0.0,0.639,0.5944,6.86
6.0,-0.096,75.63,1.0,1.117,0.5867,6.77
7.0,-0.118,75.63,1.0,1.127,0.5727,6.72
8.0,-0.056,75.63,0.0,1.212,0.5844,6.69
9.0,-0.08,75.63,0.0,1.348,0.6055,6.67
10.0,-0.107,75.63,1.0,1.263,0.5767,6.59
11.0,-0.062,75.63,0.0,1.191,0.607,6.59
12.0,-0.103,81.79,0.0,-0.6392,0.5258,6.58
13.0,-0.073,75.63,0.0,1.595,0.5894,6.5
14.0,-0.076,79.29,0.0,-0.2769,0.6158,6.5
15.0,-0.073,75.63,0.0,1.189,0.6174,6.45
16.0,-0.091,75.63,0.0,0.5732,0.5866,6.22
17.0,-0.213,75.63,0.0,0.587,0.614,5.99
18.0,-0.187,75.63,0.0,1.041,0.6324,5.95
19.0,-0.18,75.63,0.0,0.607,0.6218,5.93
20.0,-0.192,75.63,0.0,0.4319,0.6184,5.9
21.0,-0.096,79.29,2.0,0.419,0.6347,5.77
22.0,-0.19,75.63,0.0,0.6452,0.6371,5.73
23.0,-0.211,75.63,0.0,0.7896,0.6097,5.67
24.0,-0.212,75.63,0.0,0.5686,0.6201,5.63
25.0,-0.185,75.63,0.0,1.133,0.631,5.56
26.0,-0.183,79.29,2.0,0.124,0.6484,5.54
27.0,-0.208,75.63,0.0,0.8881,0.6099,5.5
